Molecule_ID,library_tag,Standardized_Molecule_Smiles,Standardized_Molecule_InChIKey,IsInBSCpaper,BSC_name,IC50 (uM)_BSC,PIC50_BSC,IsInGHDDI,parameter_GHDDI,value_GHDDI,unit_GHDDI,PX_GHDDI,Target_name_GHDDI,IsInIntegrity,Min Value_Integrity,PIC50_Integrity,Source_Integrity,Mechanism of Action,IsInGostar,GVK_ID_Gostar,reference_Gostar,source_Gostar,std_activity_type_Gostar,standard_uom_Gostar,activity_value_Gostar,PIC50_Gostar,Binder,References COVID-19,activity COVID-19,pIC50 COVID-19,pIC50>6,pIC50>5
104,real,O=C1N([Se]c2ccccc12)c3ccccc3,DYEFUKCXAQOFHX-UHFFFAOYSA-N,,,,,,,,,,,,,,,,,,,,,,,,,doi.org/10.1038/s41586-020-2223-y,"0,67","6,17",no,no
140,real,CCCCCCNC(=O)N1C=C(F)C(=O)NC1=O,AOCCBINRVIKJHY-UHFFFAOYSA-N,,,,,,,,,,,,,,,,,,,,,,,,,doi.org/10.1038/s41586-020-2223-y,"1,82","5,74",no,no
3878,real,O=C1SN(C(=O)N1Cc2ccccc2)c3cccc4ccccc34,PMJIHLSCWIDGMD-UHFFFAOYSA-N,,,,,,,,,,,,,,,,,,,,,,,,,doi.org/10.1038/s41586-020-2223-y,"1,55","5,81",no,no
5185,real,CCC(C)SSc1ncc[nH]1,BPBPYQWMFCTCNG-UHFFFAOYSA-N,,,,,,,,,,,,,,,,,,,,,,,,,doi.org/10.1038/s41586-020-2223-y,"21,39","4,67",no,no
11459,real,CN(C)CCCSc1ccccc1NC(=O)\C=C\c2ccccc2,RSUVYMGADVXGOU-BUHFOSPRSA-N,no,,,,yes,IC50,4920,nM,"5,31",3C-like proteinase (cleavage product of Replicase polyprotein 1ab) [SARS coronavirus],no,,,,,yes,6147816,"Curr. Pharm. Des., 2006, 12 (35), 4555-4564",,Ki,uM,"49,4","4,31",,doi.org/10.1038/s41586-020-2223-y,125,"3,90",no,yes
14266,virtual,CCOC(=O)\C=C\[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@H](Cc2ccccc2)NC(=O)\C=C\c3ccc4OCOc4c3,KQBRNFRQWOBRHH-FXKNVPLLSA-N,no,,,,no,,,,,,no,,,,,yes,3808634,"Bioorg. Med. Chem., 2005, 13 (17), 5240-5252",SARS CORONAVIRUS,IC50,uM,10,"5,00",,doi.org/10.1038/s41586-020-2223-y,"2,15","5,67",no,yes
14267,virtual,CCOC(=O)\C=C\[C@H](Cc1ccccc1)NC(=O)[C@H](Cc2ccccc2)NC(=O)\C=C\c3ccc(cc3)c4ccccc4,PQFVYUJGFLSMKA-PFKUUMJMSA-N,no,,,,no,,,,,,no,,,,,yes,3808639,"Bioorg. Med. Chem., 2005, 13 (17), 5240-5252",SARS CORONAVIRUS,IC50,uM,10,"5,00",,doi.org/10.1038/s41586-020-2223-y,"15,75","4,80",no,yes
118,real,COc1ccc2[nH]c(nc2c1)S(=O)Cc3ncc(C)c(OC)c3C,SUBDBMMJDZJVOS-UHFFFAOYSA-N,,,,,,,,,,,,,,,,,,,,,,,,,doi.org/10.1101/2020.03.23.004580,21,"4,68",no,no
272,real,CC(=O)OCC(=O)NCCCOc1cccc(CN2CCCCC2)c1,SMTZFNFIKUPEJC-UHFFFAOYSA-N,,,,,,,,,,,,,,,,,,,,,,,,,doi.org/10.1101/2020.03.23.004580,"20,3","4,69",no,no
516,real,CCOc1nc2cccc(C(=O)OC(C)OC(=O)OC3CCCCC3)c2n1Cc4ccc(cc4)c5ccccc5c6nnn[nH]6,GHOSNRCGJFBJIB-UHFFFAOYSA-N,,,,,,,,,,,,,,,,,,,,,,,,,doi.org/10.1101/2020.03.23.004580,"2,8","5,55",no,no
560,real,CC(C)(O)c1ccccc1CC[C@@H](SCC2(CC(=O)O)CC2)c3cccc(\C=C\c4ccc5ccc(Cl)cc5n4)c3,UCHDWCPVSPXUMX-TZIWLTJVSA-N,,,,,,,,,,,,,,,,,,,,,,,,,doi.org/10.1101/2020.03.23.004580,"7,3","5,14",no,no
658,real,COC(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)CN(Cc2ccc(cc2)c3ccccn3)NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)C(C)(C)C,AXRYRYVKAWYZBR-GASGPIRDSA-N,,,,,,,,,,,,,,,,,,,,,,,,,doi.org/10.1101/2020.03.23.004580,"7,5","5,12",no,no
717,virtual,CN(C)[C@H]1[C@@H]2[C@@H](O)[C@H]3C(=C(O)[C@]2(O)C(=O)C(=C1O)C(=O)N)C(=O)c4c(O)cccc4[C@@]3(C)O,IWVCMVBTMGNXQD-PXOLEDIWSA-N,,,,,,,,,,,,,,,,,,,,,,,,,doi.org/10.1101/2020.03.23.004580,"15,5","4,81",no,no
5857,real,CC(C)[C@H](N)C(=O)OCC(CO)OCn1cnc2C(=O)NC(=Nc12)N,WPVFJKSGQUFQAP-GKAPJAKFSA-N,,,,,,,,,,,,,,,,,,,,,,,,,doi.org/10.1101/2020.03.23.004580,"16,7","4,78",no,no
6284,real,CC(C)(C)NC(=O)[C@@H]1CN(Cc2cccnc2)CCN1C[C@@H](O)C[C@@H](Cc3ccccc3)C(=O)N[C@@H]4[C@H](O)Cc5ccccc45,CBVCZFGXHXORBI-PXQQMZJSSA-N,,,,,,,,,,,,,,,,,,,,,,,,,doi.org/10.1101/2020.03.23.004580,43,"4,37",no,no
8240,real,CCN(CC)C(=S)SSC(=S)N(CC)CC,AUZONCFQVSMFAP-UHFFFAOYSA-N,,,,,,,,,,,,,,,,,,,,,,,,,doi.org/10.1101/2020.03.23.004580,"4,7","5,33",no,no
8526,real,CC(C)C[C@H](NC(=O)[C@@H](O)[C@H](N)Cc1ccccc1)C(=O)O,VGGGPCQERPFHOB-RDBSUJKOSA-N,,,,,,,,,,,,,,,,,,,,,,,,,doi.org/10.1101/2020.03.23.004580,"8,9","5,05",no,no
990,real,CC(C)(C)NC(=O)N[C@H](C(=O)N1C[C@H]2[C@@H]([C@H]1C(=O)NC(CC3CCC3)C(=O)C(=O)N)C2(C)C)C(C)(C)C,LHHCSNFAOIFYRV-DOVBMPENSA-N,,,,,,,,,,,,,,,,,,,,,,,,,https://doi.org/10.1101/2020.04.20.051581.,"4,13","5,38",no,no
13706,virtual,CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](CC2CCNC2=O)C(O)S(=O)(=O)O,BSPZFJDYQHDZNR-ASPXRTSYSA-N,no,,,,yes,IC50,4,µM,"5,4",Severe Acute Respiratory Syndrome-Cov 3Clpro [SARS coronavirus],no,,,,,yes,122257376,WO 2013/049382 A2,SARS CORONAVIRUS,IC50,uM,"4,35","5,36",,https://doi.org/10.1101/2020.04.20.051581.,"0,03","7,52",no,yes
14260,virtual,O=C(N[C@@H](CC1CCCCC1)C(=O)N[C@@H](C[C@@H]2CCNC2=O)C(=O)C(=O)NCc3ccccc3)\C=C\c4ccccc4,QTGORSKTHIBLJT-FIVJMQNTSA-N,no,,,,no,,,,,,,"7,1E-07","6,15","Zhang, L.; Lin, D.; Sun, X.; Curth, U.; Drosten, C.; Sauerhering, L.; Becker, S.; Rox, K.; Hilgenfeld, R.",,no,,,,,,,,,integrity,"0,18","6,74",yes,yes
14261,virtual,CC(C)(C)OC(=O)NC1=CC=CN([C@@H](CC2CC2)C(=O)N[C@@H](C[C@@H]3CCNC3=O)C(=O)C(=O)NCc4ccccc4)C1=O,NLVRHQFXQFSBQK-XWGVYQGASA-N,no,,,,no,,,,,,,"6,7E-07","6,17","Zhang, L.; Lin, D.; Sun, X.; Curth, U.; Drosten, C.; Sauerhering, L.; Becker, S.; Rox, K.; Hilgenfeld, R.",,no,,,,,,,,,integrity,"0,9","6,05",yes,yes
14262,virtual,CC(C)(C)OC(=O)NC1=CC=CN([C@@H](CC2CCCCC2)C(=O)N[C@@H](C[C@@H]3CCNC3=O)C(=O)C(=O)NCc4ccccc4)C1=O,KGHVTHJFWBMPFA-URORMMCBSA-N,no,,,,no,,,,,,,,,"Zhang, L.; Lin, D.; Sun, X.; Curth, U.; Drosten, C.; Sauerhering, L.; Becker, S.; Rox, K.; Hilgenfeld, R.",,no,,,,,,,,,integrity,"2,39","5,62",no,no
391,real,OC1=C(Oc2cc(O)cc(O)c2C1=O)c3ccc(O)c(O)c3,REFJWTPEDVJJIY-UHFFFAOYSA-N,yes,83,"83,4","4,08",yes,IC50,"38,25",µM,"4,45",3C-like proteinase (cleavage product of Replicase polyprotein 1ab) [SARS coronavirus],no,,,,,,,,,,,,,,,,,no,no
567,real,CC(C)[C@H](NC(=O)N(C)Cc1csc(n1)C(C)C)C(=O)N[C@H](C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc3cncs3)Cc4ccccc4,NCDNCNXCDXHOMX-XGKFQTDJSA-N,no,,,,yes,Ki (inhibition constant),0,M,5,Sars Cov 3C-Like Protease [SARS coronavirus],no,,,,HIV Protease Inhibitors,no,,,,,,,,,,,,no,yes
636,real,Oc1cc(O)c2C(=O)C=C(Oc2c1)c3ccc(O)c(O)c3,IQPNAANSBPBGFQ-UHFFFAOYSA-N,yes,82,"10,6","4,97",yes,IC50,20,µM,"4,7",3C-like proteinase (cleavage product of Replicase polyprotein 1ab) [SARS coronavirus],no,,,,,,,,,,,,,,,,,no,no
640,real,CC(C)[C@H](N1CCCNC1=O)C(=O)N[C@H](C[C@H](O)[C@H](Cc2ccccc2)NC(=O)COc3c(C)cccc3C)Cc4ccccc4,KJHKTHWMRKYKJE-SUGCFTRWSA-N,no,,,,yes,Ki (inhibition constant),15,µM,"4,82",3C-like proteinase (cleavage product of Replicase polyprotein 1ab) [SARS coronavirus],no,,,,HIV Protease Inhibitors,no,,,,,,,,,,,,no,no
707,real,OC[C@H]1O[C@@H](OC2=C(Oc3cc(O)cc(O)c3C2=O)c4ccc(O)c(O)c4)[C@H](O)[C@@H](O)[C@H]1O,OVSQVDMCBVZWGM-DTGCRPNFSA-N,no,,,,yes,IC50,"128,8",µM,"3,89",3C-like protease [SARS coronavirus],no,,,,,yes,121068013,US 20090182133 A1,SARS CORONAVIRUS,IC50,uM,"50,5","4,30",,,,,no,no
723,real,Oc1ccc(Cl)cc1C(=O)Nc2ccc(cc2Cl)[N+](=O)[O-],RJMUSRYZPJIFPJ-UHFFFAOYSA-N,no,,,,no,,,,,,yes,4E-05,"4,40","Wen, C.C.; Kuo, Y.H.; Jan, J.T.; Liang, P.H.; Wang, S.Y.; Liu, H.G.; Lee, C.K.; Chang, S.T.; Kuo, C.J.; Lee, S.S.; Hou, C.C.; Hsiao, P.W.; Chien, S.C.; Shyur, L.F.; Yang, N.S.",,no,,,,,,,,,,,,no,no
906,real,C[C@H]1COC2=C1C(=O)C(=O)c3c4CCCC(C)(C)c4ccc23,GVKKJJOMQCNPGB-JTQLQIEISA-N,no,,,,yes,IC50,"226,7",µM,"3,64",3C-like proteinase (cleavage product of Replicase polyprotein 1ab) [SARS coronavirus],no,,,,,no,,,,,,,,,,,,no,no
1153,real,O=C1Oc2cc3occc3cc2C=C1,ZCCUUQDIBDJBTK-UHFFFAOYSA-N,no,,,,yes,inhibition rate,45,%,"3,61",3C-like proteinase (cleavage product of Replicase polyprotein 1ab) [SARS coronavirus],no,,,,,no,,,,,,,,,,,,no,no
1409,real,Oc1c(Cl)cc(Cl)c(Cl)c1Cc2c(O)c(Cl)cc(Cl)c2Cl,ACGUYXCXAPNIKK-UHFFFAOYSA-N,no,,,,yes,Ki (inhibition constant),"8,85",µM,"5,13",Sars Cov 3C-Like Protease [SARS coronavirus],no,,,,,no,,,,,,,,,,,,no,yes
1413,real,CC1=C(O)C(=O)C=C2C1=CC=C3[C@@]2(C)CC[C@@]4(C)[C@@H]5C[C@@](C)(CC[C@]5(C)CC[C@]34C)C(=O)O,KQJSQWZMSAGSHN-JJWQIEBTSA-N,yes,97,"10,3","4,99",no,,,,,,no,,,,,,,,,,,,,,,,,no,no
1629,virtual,CC(C)C[C@H](NC(=O)[C@@H](NC(=O)[C@H](C)NC(=O)c1cc(C)on1)C(C)C)C(=O)N[C@@H](C[C@@H]2CCNC2=O)\C=C\C(=O)OCc3ccccc3,IDBWWEGDLCFCTD-VNEMRZQUSA-N,no,,,,yes,Ki (inhibition constant),9,µM,"5,05",Protease [SARS coronavirus],yes,"2,3E-07","6,64","Cui, W.; Cui, S.; Chen, C.; Chen, X.; Wang, Z.; Yang, H.; Zhang, L.",3C-Like Protease,yes,121687284,"Curr. Pharm. Des., 2013, 19 (6), 1126-1153",SARS CORONAVIRUS,Ki,uM,9,"5,05",COVALENT,,,,yes,yes
1630,virtual,C\C(=C/Cc1c(O)ccc(C(=O)\C=C\c2ccc(O)cc2)c1O)\CCC(O)C(=C)C,NCHZAFAGBAEJJJ-BAYITLGHSA-N,no,,,,yes,IC50,"15,4",µM,"4,86",3C-like proteinase (cleavage product of Replicase polyprotein 1ab) [SARS coronavirus],no,,,,3C-Like Protease (SARS-CoV),no,,,,,,,,,,,,no,no
1632,virtual,CCC1(CCN(CC1)C(=O)OC(C)(C)C)OC(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C[C@@H]2CCNC2=O)C(O)S(=O)(=O)O,XQPCHNVZRFSEQT-KDLWQYFGSA-N,no,,,,no,,,,,,yes,"7,5E-06","5,12","Kankanamalage, A.C.G.; Kim, Y.; Damalanka, V.C.; et al.",3C-Like Protease,no,,,,,,,,COVALENT,,,,no,yes
1633,virtual,Cc1onc(c1)C(=O)N[C@@H](Cc2ccc(F)cc2)C(=O)N[C@@H](C[C@@H]3CCCNC3=O)[C@H]4OC(=O)N(C4=N)c5ccccc5,HVKCQNWMFFVZLT-ZVEUQFOJSA-N,no,,,,no,,,,,,yes,5E-07,"6,30","4 Anti-enterovirus 71 (EV71)-imino-oxazolidine-2-ketone compound, preparation method and use thereof",3C-Like Protease,no,,,,,,,,,,,,yes,yes
1634,virtual,CCCCN1C(=O)O[C@H]([C@H](C[C@@H]2CCCNC2=O)NC(=O)[C@H](Cc3ccc(F)cc3)NC(=O)c4cc(C)on4)C1=N,VZBHGOVMXYENAA-XHRGMSINSA-N,no,,,,no,,,,,,yes,5E-07,"6,30","4 Anti-enterovirus 71 (EV71)-imino-oxazolidine-2-ketone compound, preparation method and use thereof",3C-Like Protease,no,,,,,,,,,,,,yes,yes
1635,virtual,CC(C)N1C(=O)O[C@H]([C@H](C[C@@H]2CCCNC2=O)NC(=O)[C@H](Cc3ccc(F)cc3)NC(=O)c4cc(C)on4)C1=N,RSRTWJBTRIQSKI-WCCBULMPSA-N,no,,,,no,,,,,,yes,5E-07,"6,30","4 Anti-enterovirus 71 (EV71)-imino-oxazolidine-2-ketone compound, preparation method and use thereof",3C-Like Protease,no,,,,,,,,,,,,yes,yes
1636,virtual,CCCN1C(=O)O[C@H]([C@H](C[C@@H]2CCCNC2=O)NC(=O)[C@H](Cc3ccc(F)cc3)NC(=O)c4cc(C)on4)C1=N,RLGCWSQBPDYQFO-WCCBULMPSA-N,no,,,,no,,,,,,yes,5E-07,"6,30","4 Anti-enterovirus 71 (EV71)-imino-oxazolidine-2-ketone compound, preparation method and use thereof",3C-Like Protease,no,,,,,,,,,,,,yes,yes
1637,virtual,CCN1C(=O)O[C@H]([C@H](C[C@@H]2CCCNC2=O)NC(=O)[C@H](Cc3ccc(F)cc3)NC(=O)c4cc(C)on4)C1=N,HOCQCJJEKMWRHO-MCNSAMFCSA-N,no,,,,no,,,,,,yes,5E-07,"6,30","4 Anti-enterovirus 71 (EV71)-imino-oxazolidine-2-ketone compound, preparation method and use thereof",3C-Like Protease,no,,,,,,,,,,,,yes,yes
1638,virtual,CN1C(=O)O[C@H]([C@H](C[C@@H]2CCCNC2=O)NC(=O)[C@H](Cc3ccc(F)cc3)NC(=O)c4cc(C)on4)C1=N,LYXBHUNPPLNKQY-TXJVSEOTSA-N,no,,,,no,,,,,,yes,5E-07,"6,30","4 Anti-enterovirus 71 (EV71)-imino-oxazolidine-2-ketone compound, preparation method and use thereof",3C-Like Protease,no,,,,,,,,,,,,yes,yes
1639,virtual,CC(C)C[C@H](NC(=O)OC1(Cc2ccccc2)CCN(CC1)C(=O)OC(C)(C)C)C(=O)N[C@@H](C[C@@H]3CCNC3=O)C(O)S(=O)(=O)O,PJEUBFINPIVQHS-DKJNXQLESA-N,no,,,,yes,EC50,"0,8",µM,"6,1",3C-like protease [Middle East respiratory syndrome coronavirus],yes,7E-07,"6,15","Kankanamalage, A.C.G.; Kim, Y.; Damalanka, V.C.; et al.",3C-Like Protease,no,,,,,,,,COVALENT,,,,yes,yes
1640,virtual,CC(C)C[C@H](NC(=O)OC1CCN(CC1)S(=O)(=O)C)C(=O)N[C@@H](C[C@@H]2CCNC2=O)C(O)S(=O)(=O)O,HXZRMRVHDZAUPL-AOTTWXCTSA-N,no,,,,no,,,,,,yes,6E-07,"6,22","Kankanamalage, A.C.G.; Kim, Y.; Damalanka, V.C.; et al.",3C-Like Protease,no,,,,,,,,COVALENT,,,,yes,yes
